<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CADRUB;D;20230714;0;68.7385793;;;68.2857792;
CADRUB;D;20230716;0;68.2702785;;;68.2196918;
CADRUB;D;20230717;0;68.2165971;;;68.6320526;
CADRUB;D;20230718;0;68.6392491;;;69.1101524;
CADRUB;D;20230719;0;69.1036478;;;69.8539020;
CADRUB;D;20230720;0;69.8569497;;;68.3916413;
CADRUB;D;20230721;0;68.3954394;;;68.8169440;
CADRUB;D;20230723;0;68.8065346;;;68.7930070;
CADRUB;D;20230724;0;68.7914464;;;68.6508027;
CADRUB;D;20230725;0;68.6434464;;;68.3954137;
CADRUB;D;20230726;0;68.3917346;;;68.1590567;
CADRUB;D;20230727;0;68.1528826;;;68.5689554;
CADRUB;D;20230728;0;68.5642468;;;69.4715116;
CADRUB;D;20230730;0;69.4446540;;;69.4535630;
CADRUB;D;20230731;0;69.4504184;;;69.4597585;
CADRUB;D;20230801;0;69.4568661;;;69.6337328;
CADRUB;D;20230802;0;69.6285327;;;70.4721188;
CADRUB;D;20230803;0;70.4846977;;;70.7630832;
CADRUB;D;20230804;0;70.2972144;;;71.6618076;
CADRUB;D;20230806;0;71.6750168;;;71.6803769;
CADRUB;D;20230807;0;71.6648349;;;71.3300927;
CADRUB;D;20230808;0;71.3246380;;;72.4019425;
CADRUB;D;20230809;0;71.7193657;;;72.1887622;
CADRUB;D;20230810;0;72.1872718;;;72.1698317;
CADRUB;D;20230811;0;72.1645988;;;73.3142347;
CADRUB;D;20230813;0;73.3196904;;;73.3076889;
CADRUB;D;20230814;0;73.3120526;;;71.3165853;
CADRUB;D;20230815;0;73.1836419;;;72.6305021;
CADRUB;D;20230816;0;72.8132482;;;71.1626258;
CADRUB;D;20230817;0;69.8800281;;;69.3197590;
CADRUB;D;20230818;0;69.0065042;;;68.6199262;
CADRUB;D;20230820;0;68.6401890;;;68.6645201;
CADRUB;D;20230821;0;68.6635060;;;68.9814917;
CADRUB;D;20230822;0;68.9477919;;;68.8049358;
CADRUB;D;20230823;0;69.5573138;;;68.7523569;
CADRUB;D;20230824;0;69.4814366;;;69.7335100;
CADRUB;D;20230825;0;69.8469057;;;69.1232716;
CADRUB;D;20230827;0;69.0927805;;;69.8630339;
CADRUB;D;20230828;0;69.8650895;;;68.3686525;
CADRUB;D;20230829;0;69.4240568;;;70.3765764;
CADRUB;D;20230830;0;70.3811631;;;71.0213671;
CADRUB;D;20230831;0;70.9453828;;;70.9615100;
CADRUB;D;20230901;0;70.9592154;;;70.9581914;
CADRUB;D;20230903;0;70.1669854;;;70.1623403;
CADRUB;D;20230904;0;70.9267256;;;71.2181599;
CADRUB;D;20230905;0;71.5319283;;;70.9279137;
CADRUB;D;20230906;0;70.9425773;;;72.1450149;
CADRUB;D;20230907;0;72.3128359;;;71.9866102;
CADRUB;D;20230908;0;71.9781473;;;70.9570957;
CADRUB;D;20230910;0;71.7756598;;;71.8441330;
CADRUB;D;20230911;0;72.0214702;;;69.4650024;
CADRUB;D;20230912;0;70.2391911;;;70.7958444;
CADRUB;D;20230913;0;70.8067884;;;70.2559713;
CADRUB;D;20230914;0;71.0339281;;;71.2287374;
CADRUB;D;20230915;0;70.6617043;;;70.8379558;
CADRUB;D;20230917;0;71.5270280;;;71.5307307;
CADRUB;D;20230918;0;71.6446167;;;71.1409102;
CADRUB;D;20230919;0;71.1359508;;;72.5266502;
CADRUB;D;20230920;0;72.0495139;;;71.2480151;
CADRUB;D;20230921;0;71.3013734;;;70.5466849;
CADRUB;D;20230922;0;71.5508248;;;70.6772495;
CADRUB;D;20230924;0;70.1846770;;;70.2138395;
CADRUB;D;20230925;0;70.6998004;;;71.2594146;
CADRUB;D;20230926;0;71.2658360;;;71.4356513;
CADRUB;D;20230927;0;71.4361797;;;71.9061023;
CADRUB;D;20230928;0;71.9027725;;;71.6446144;
CADRUB;D;20230929;0;71.6419957;;;71.0615011;
CADRUB;D;20231001;0;71.0584076;;;71.0762068;
CADRUB;D;20231002;0;71.0777777;;;72.5644738;
CADRUB;D;20231003;0;72.6051127;;;73.0155662;
CADRUB;D;20231004;0;72.9887229;;;72.9995198;
CADRUB;D;20231005;0;72.8871508;;;73.0533243;
CADRUB;D;20231006;0;73.0488010;;;73.9272381;
CADRUB;D;20231008;0;73.1864432;;;73.1826932;
CADRUB;D;20231009;0;73.1826932;;;72.3453136;
CADRUB;D;20231010;0;73.4216475;;;70.3382681;
CADRUB;D;20231011;0;70.3396057;;;73.1685790;
CADRUB;D;20231012;0;73.1712699;;;71.4131626;
CADRUB;D;20231013;0;71.4083395;;;71.5526181;
CADRUB;D;20231015;0;71.4102658;;;71.4845926;
CADRUB;D;20231016;0;71.5156935;;;71.5002461;
CADRUB;D;20231017;0;71.5030591;;;71.7882415;
CADRUB;D;20231018;0;71.8920621;;;71.0610557;
CADRUB;D;20231019;0;71.0636467;;;70.6119622;
CADRUB;D;20231020;0;70.3976552;;;69.6173345;
CADRUB;D;20231022;0;69.7543015;;;69.8097788;
CADRUB;D;20231023;0;69.8082508;;;69.0278326;
CADRUB;D;20231024;0;68.4341486;;;68.0073938;
CADRUB;D;20231025;0;68.0098243;;;67.6358499;
CADRUB;D;20231026;0;68.1533189;;;67.7663578;
CADRUB;D;20231027;0;67.8156960;;;67.8978522;
CADRUB;D;20231029;0;67.7410051;;;68.1129626;
