<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20230714,000000,90.1314000,90.5856000,88.9750000,90.2260000,13415
USDRUB,D,20230716,000000,90.2260000,90.2260000,90.2260000,90.2260000,4
USDRUB,D,20230717,000000,90.2260000,90.8700000,89.2000000,90.5998000,12917
USDRUB,D,20230718,000000,90.6093000,91.2010000,89.3270000,90.9925000,12677
USDRUB,D,20230719,000000,90.9867000,91.9530000,89.0000000,91.9445000,11467
USDRUB,D,20230720,000000,91.9541000,91.9641000,89.4500000,90.1012000,12091
USDRUB,D,20230721,000000,90.1021000,91.0948000,89.2550000,90.9760000,12656
USDRUB,D,20230723,000000,90.9760000,90.9760000,90.5500000,90.9760000,12
USDRUB,D,20230724,000000,90.9760000,91.0270000,89.2500000,90.4440000,12970
USDRUB,D,20230725,000000,90.4398000,90.6330000,88.9500000,90.1944000,1221
USDRUB,D,20230726,000000,90.1916000,90.4130000,88.9000000,89.9979000,12719
USDRUB,D,20230727,000000,89.9952000,90.8146000,88.8480000,90.6989000,12193
USDRUB,D,20230728,000000,90.6961000,92.2510000,89.2680000,92.0567000,14341
USDRUB,D,20230730,000000,92.0350000,92.0350000,92.0350000,92.0350000,1
USDRUB,D,20230731,000000,92.0350000,92.4930000,90.0000000,91.6459000,3695
USDRUB,D,20230801,000000,91.6400000,92.4175000,90.5000000,92.3970000,7039
USDRUB,D,20230802,000000,92.3901000,94.4324000,91.0750000,94.0387000,9755
USDRUB,D,20230803,000000,94.0576000,94.7403000,92.4150000,94.4765000,9912
USDRUB,D,20230804,000000,93.8509990,96.7649000,93.2300000,95.8620000,6995
USDRUB,D,20230806,000000,95.8510000,95.8510000,95.8510000,95.8510000,10
USDRUB,D,20230807,000000,95.8510000,97.0480000,94.3750000,95.3826000,7376
USDRUB,D,20230808,000000,95.3696000,97.3492000,94.3750000,97.2054000,8204
USDRUB,D,20230809,000000,96.2854000,98.1260000,94.0000000,96.8701000,511
USDRUB,D,20230810,000000,96.8681000,97.8500000,95.4500000,97.0244000,6965
USDRUB,D,20230811,000000,97.0152000,99.5453000,96.2000000,98.5270000,1051
USDRUB,D,20230813,000000,98.5270000,98.5270000,98.5270000,98.5270000,4
USDRUB,D,20230814,000000,98.5270000,102.3550000,95.0000000,95.9800000,8324
USDRUB,D,20230815,000000,98.4964000,99.6010000,94.5460000,97.9800000,5272
USDRUB,D,20230816,000000,98.2258000,98.2258000,92.0000000,96.3300000,7023
USDRUB,D,20230817,000000,94.5931000,95.6260000,91.0500000,93.8950000,7085
USDRUB,D,20230818,000000,93.4700000,94.7260000,91.7800000,92.9800000,10406
USDRUB,D,20230820,000000,92.9800000,92.9800000,92.9800000,92.9800000,2
USDRUB,D,20230821,000000,92.9800000,94.8571000,92.0000000,93.4375000,7548
USDRUB,D,20230822,000000,93.3953000,94.6900000,92.6250000,93.2300000,8239
USDRUB,D,20230823,000000,94.2439000,95.0000000,92.6250000,92.9800000,12065
USDRUB,D,20230824,000000,93.9660000,95.0120000,92.9800000,94.7260000,8397
USDRUB,D,20230825,000000,94.8968000,95.8631000,92.5509990,93.9800000,6669
USDRUB,D,20230827,000000,93.9800000,94.9760000,93.9800000,94.9760000,13
USDRUB,D,20230828,000000,94.9760000,95.8843000,92.9800000,92.9800000,9282
USDRUB,D,20230829,000000,94.4188000,96.2252000,92.9800000,95.4236000,1059
USDRUB,D,20230830,000000,95.4263000,96.9760000,94.5000000,96.1260000,718
