<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
UZSRUB;D;20230714;0;0.0077883;;;0.0077965;
UZSRUB;D;20230716;0;0.0077887;;;0.0077887;
UZSRUB;D;20230717;0;0.0077761;;;0.0078171;
UZSRUB;D;20230718;0;0.0078144;;;0.0078475;
UZSRUB;D;20230719;0;0.0078640;;;0.0079345;
UZSRUB;D;20230720;0;0.0079236;;;0.0077740;
UZSRUB;D;20230721;0;0.0077741;;;0.0078529;
UZSRUB;D;20230723;0;0.0078373;;;0.0078428;
UZSRUB;D;20230724;0;0.0078293;;;0.0077902;
UZSRUB;D;20230725;0;0.0077998;;;0.0077787;
UZSRUB;D;20230726;0;0.0077784;;;0.0077651;
UZSRUB;D;20230727;0;0.0077494;;;0.0078189;
UZSRUB;D;20230728;0;0.0077997;;;0.0079167;
UZSRUB;D;20230730;0;0.0079000;;;0.0079034;
UZSRUB;D;20230731;0;0.0079049;;;0.0078715;
UZSRUB;D;20230801;0;0.0078729;;;0.0079277;
UZSRUB;D;20230802;0;0.0079169;;;0.0080582;
UZSRUB;D;20230803;0;0.0080668;;;0.0081027;
UZSRUB;D;20230804;0;0.0080476;;;0.0082200;
UZSRUB;D;20230806;0;0.0079412;;;0.0079413;
UZSRUB;D;20230807;0;0.0079631;;;0.0079242;
UZSRUB;D;20230808;0;0.0079099;;;0.0080668;
UZSRUB;D;20230809;0;0.0079773;;;0.0080363;
UZSRUB;D;20230810;0;0.0080162;;;0.0080318;
UZSRUB;D;20230811;0;0.0080436;;;0.0081765;
UZSRUB;D;20230813;0;0.0081609;;;0.0081609;
UZSRUB;D;20230814;0;0.0081461;;;0.0079487;
UZSRUB;D;20230815;0;0.0081503;;;0.0081109;
UZSRUB;D;20230816;0;0.0081430;;;0.0079859;
UZSRUB;D;20230817;0;0.0078435;;;0.0077960;
UZSRUB;D;20230818;0;0.0077471;;;0.0077065;
UZSRUB;D;20230820;0;0.0077052;;;0.0077052;
UZSRUB;D;20230821;0;0.0076971;;;0.0077350;
UZSRUB;D;20230822;0;0.0077282;;;0.0077145;
UZSRUB;D;20230823;0;0.0077907;;;0.0076862;
UZSRUB;D;20230824;0;0.0077574;;;0.0078201;
UZSRUB;D;20230825;0;0.0078265;;;0.0077509;
UZSRUB;D;20230827;0;0.0077669;;;0.0078363;
UZSRUB;D;20230828;0;0.0078284;;;0.0076780;
UZSRUB;D;20230829;0;0.0077761;;;0.0078588;
UZSRUB;D;20230830;0;0.0078485;;;0.0079279;
UZSRUB;D;20230831;0;0.0078866;;;0.0078905;
UZSRUB;D;20230901;0;0.0078856;;;0.0079311;
UZSRUB;D;20230903;0;0.0078513;;;0.0078668;
UZSRUB;D;20230904;0;0.0079226;;;0.0079582;
UZSRUB;D;20230905;0;0.0080028;;;0.0079621;
UZSRUB;D;20230906;0;0.0079552;;;0.0080951;
UZSRUB;D;20230907;0;0.0081021;;;0.0080931;
UZSRUB;D;20230908;0;0.0080824;;;0.0079466;
UZSRUB;D;20230910;0;0.0080201;;;0.0080201;
UZSRUB;D;20230911;0;0.0080445;;;0.0077383;
UZSRUB;D;20230912;0;0.0078243;;;0.0078743;
UZSRUB;D;20230913;0;0.0078799;;;0.0078236;
UZSRUB;D;20230914;0;0.0079101;;;0.0079169;
UZSRUB;D;20230915;0;0.0078310;;;0.0078831;
UZSRUB;D;20230917;0;0.0079212;;;0.0079284;
UZSRUB;D;20230918;0;0.0079391;;;0.0078625;
UZSRUB;D;20230919;0;0.0078799;;;0.0080045;
UZSRUB;D;20230920;0;0.0079487;;;0.0078802;
UZSRUB;D;20230921;0;0.0078928;;;0.0078094;
UZSRUB;D;20230922;0;0.0079069;;;0.0078195;
UZSRUB;D;20230924;0;0.0077495;;;0.0077566;
UZSRUB;D;20230925;0;0.0077945;;;0.0078406;
UZSRUB;D;20230926;0;0.0078487;;;0.0079077;
UZSRUB;D;20230927;0;0.0079186;;;0.0079730;
UZSRUB;D;20230928;0;0.0079631;;;0.0079420;
UZSRUB;D;20230929;0;0.0079210;;;0.0079245;
UZSRUB;D;20231001;0;0.0078910;;;0.0079014;
UZSRUB;D;20231002;0;0.0079046;;;0.0081411;
UZSRUB;D;20231003;0;0.0081301;;;0.0081961;
UZSRUB;D;20231004;0;0.0082052;;;0.0082374;
UZSRUB;D;20231005;0;0.0082178;;;0.0082244;
UZSRUB;D;20231006;0;0.0082036;;;0.0082746;
UZSRUB;D;20231008;0;0.0081796;;;0.0081797;
UZSRUB;D;20231009;0;0.0081855;;;0.0080533;
UZSRUB;D;20231010;0;0.0081532;;;0.0078129;
UZSRUB;D;20231011;0;0.0078034;;;0.0081374;
UZSRUB;D;20231012;0;0.0081308;;;0.0079872;
UZSRUB;D;20231013;0;0.0079775;;;0.0079792;
UZSRUB;D;20231015;0;0.0079515;;;0.0079612;
UZSRUB;D;20231016;0;0.0079483;;;0.0079306;
UZSRUB;D;20231017;0;0.0079198;;;0.0079740;
UZSRUB;D;20231018;0;0.0079906;;;0.0079422;
UZSRUB;D;20231019;0;0.0079454;;;0.0078959;
UZSRUB;D;20231020;0;0.0078651;;;0.0077846;
UZSRUB;D;20231022;0;0.0077880;;;0.0077975;
