<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCAD,D,20230714,000000,1.3112200,1.3227000,1.3089000,1.3213000,1144511
USDCAD,D,20230716,000000,1.3216000,1.3232100,1.3200000,1.3225800,37791
USDCAD,D,20230717,000000,1.3226400,1.3232200,1.3157000,1.3200800,1037501
USDCAD,D,20230718,000000,1.3200800,1.3243200,1.3157000,1.3166300,1219277
USDCAD,D,20230719,000000,1.3166700,1.3193200,1.3152000,1.3162400,1178103
USDCAD,D,20230720,000000,1.3163200,1.3194600,1.3115000,1.3174300,1404278
USDCAD,D,20230721,000000,1.3173700,1.3226400,1.3150000,1.3220000,1000090
USDCAD,D,20230723,000000,1.3222000,1.3226000,1.3209800,1.3224600,38501
USDCAD,D,20230724,000000,1.3224900,1.3228700,1.3146000,1.3174500,1184555
USDCAD,D,20230725,000000,1.3175300,1.3209400,1.3145900,1.3187200,1082487
USDCAD,D,20230726,000000,1.3187500,1.3237800,1.3168000,1.3204100,1310770
USDCAD,D,20230727,000000,1.3204900,1.3243100,1.3154000,1.3227400,1347979
USDCAD,D,20230728,000000,1.3227900,1.3252800,1.3198800,1.3251000,1361676
USDCAD,D,20230730,000000,1.3253000,1.3253000,1.3227000,1.3251300,48245
USDCAD,D,20230731,000000,1.3251900,1.3261500,1.3147000,1.3194100,1147499
USDCAD,D,20230801,000000,1.3193800,1.3300000,1.3182000,1.3269000,1217247
USDCAD,D,20230802,000000,1.3269000,1.3353200,1.3266000,1.3344100,1250280
USDCAD,D,20230803,000000,1.3344400,1.3377900,1.3325000,1.3351100,1253219
USDCAD,D,20230804,000000,1.3350600,1.3394000,1.3316000,1.3377000,1255733
USDCAD,D,20230806,000000,1.3373000,1.3381300,1.3367600,1.3372000,51285
USDCAD,D,20230807,000000,1.3374900,1.3399300,1.3351000,1.3372000,1078538
USDCAD,D,20230808,000000,1.3371200,1.3502000,1.3363000,1.3425800,1271372
USDCAD,D,20230809,000000,1.3425300,1.3454000,1.3403200,1.3419000,1136949
USDCAD,D,20230810,000000,1.3419000,1.3450000,1.3368000,1.3443900,1434908
USDCAD,D,20230811,000000,1.3443600,1.3466000,1.3408000,1.3439000,1274955
USDCAD,D,20230813,000000,1.3438000,1.3445300,1.3430000,1.3440200,50582
USDCAD,D,20230814,000000,1.3439400,1.3480000,1.3434000,1.3458300,1378657
USDCAD,D,20230815,000000,1.3458800,1.3501800,1.3436000,1.3490200,1522590
USDCAD,D,20230816,000000,1.3490100,1.3545100,1.3471000,1.3536600,1460726
USDCAD,D,20230817,000000,1.3536500,1.3552600,1.3492000,1.3545200,1477752
USDCAD,D,20230818,000000,1.3545100,1.3574700,1.3521000,1.3550000,1471882
USDCAD,D,20230820,000000,1.3546000,1.3553000,1.3537000,1.3541200,44362
USDCAD,D,20230821,000000,1.3541400,1.3572800,1.3491000,1.3545300,1324397
USDCAD,D,20230822,000000,1.3545800,1.3565000,1.3509000,1.3549900,1341499
USDCAD,D,20230823,000000,1.3549100,1.3603700,1.3516000,1.3523900,1313370
USDCAD,D,20230824,000000,1.3523900,1.3589000,1.3506000,1.3584000,1368526
USDCAD,D,20230825,000000,1.3586400,1.3640000,1.3565000,1.3596000,1358206
USDCAD,D,20230827,000000,1.3602000,1.3602000,1.3578500,1.3594600,48853
USDCAD,D,20230828,000000,1.3594200,1.3611700,1.3566000,1.3599800,1128359
USDCAD,D,20230829,000000,1.3600300,1.3637300,1.3546000,1.3559000,1237265
USDCAD,D,20230830,000000,1.3558500,1.3577000,1.3508000,1.3534800,1308214
USDCAD,D,20230831,000000,1.3534200,1.3557800,1.3500000,1.3510000,1228773
USDCAD,D,20230901,000000,1.3510000,1.3612700,1.3486000,1.3588100,1210976
USDCAD,D,20230903,000000,1.3594000,1.3598800,1.3577800,1.3594900,33978
USDCAD,D,20230904,000000,1.3594100,1.3604600,1.3572000,1.3599200,731379
USDCAD,D,20230905,000000,1.3599200,1.3669400,1.3593000,1.3639200,1261785
USDCAD,D,20230906,000000,1.3639200,1.3676300,1.3618000,1.3638600,1200314
USDCAD,D,20230907,000000,1.3639100,1.3694400,1.3628000,1.3682100,1147873
USDCAD,D,20230908,000000,1.3682500,1.3689500,1.3604000,1.3635000,1078274
USDCAD,D,20230910,000000,1.3640000,1.3640000,1.3618500,1.3627000,63685
USDCAD,D,20230911,000000,1.3628200,1.3635700,1.3556000,1.3579500,1091655
USDCAD,D,20230912,000000,1.3579100,1.3593200,1.3541000,1.3552900,1062558
USDCAD,D,20230913,000000,1.3552500,1.3586800,1.3517000,1.3552300,1360780
USDCAD,D,20230914,000000,1.3552200,1.3554200,1.3489000,1.3515500,1249237
USDCAD,D,20230915,000000,1.3515100,1.3549600,1.3490000,1.3521000,1219410
USDCAD,D,20230917,000000,1.3523000,1.3526500,1.3509500,1.3522300,33221
USDCAD,D,20230918,000000,1.3522300,1.3528400,1.3466000,1.3486600,1082038
USDCAD,D,20230919,000000,1.3486500,1.3488400,1.3376300,1.3442700,1221675
USDCAD,D,20230920,000000,1.3442700,1.3478200,1.3391000,1.3476600,1456147
USDCAD,D,20230921,000000,1.3477300,1.3523600,1.3457000,1.3477600,1454585
USDCAD,D,20230922,000000,1.3476700,1.3491600,1.3419000,1.3481000,1268636
USDCAD,D,20230924,000000,1.3483000,1.3483000,1.3467000,1.3477400,66707
USDCAD,D,20230925,000000,1.3476700,1.3492000,1.3444000,1.3449900,1216618
USDCAD,D,20230926,000000,1.3450400,1.3528100,1.3446000,1.3519300,1500608
USDCAD,D,20230927,000000,1.3519200,1.3543100,1.3490100,1.3499800,1460602
USDCAD,D,20230928,000000,1.3500300,1.3516000,1.3467000,1.3490700,1674840
USDCAD,D,20230929,000000,1.3490900,1.3585000,1.3413000,1.3577000,1597663
USDCAD,D,20231001,000000,1.3577000,1.3581700,1.3553800,1.3573600,62694
USDCAD,D,20231002,000000,1.3573300,1.3684800,1.3558000,1.3676100,1450784
USDCAD,D,20231003,000000,1.3675800,1.3736000,1.3672000,1.3709200,1673836
USDCAD,D,20231004,000000,1.3709200,1.3779700,1.3686000,1.3744200,1679259
USDCAD,D,20231005,000000,1.3744000,1.3785400,1.3699000,1.3706700,1613159
USDCAD,D,20231006,000000,1.3706700,1.3745900,1.3640000,1.3661000,1679931
