<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,D,20230714,000000,138.0610000,139.1570000,137.2260000,138.7430000,1890336
USDJPY,D,20230716,000000,138.7030000,138.8320000,138.6460000,138.6760000,80241
USDJPY,D,20230717,000000,138.6840000,139.4070000,137.9870000,138.7120000,1562551
USDJPY,D,20230718,000000,138.7170000,139.1910000,137.6670000,139.0190000,1916357
USDJPY,D,20230719,000000,139.0220000,139.9940000,138.8410000,139.6100000,1767374
USDJPY,D,20230720,000000,139.6040000,140.4980000,139.1000000,139.8500000,1912341
USDJPY,D,20230721,000000,139.8500000,141.9560000,139.7390000,141.7700000,1614267
USDJPY,D,20230723,000000,141.6780000,141.7820000,141.5570000,141.7430000,72911
USDJPY,D,20230724,000000,141.7510000,141.8130000,140.7310000,141.5310000,1555389
USDJPY,D,20230725,000000,141.5410000,141.7380000,140.8250000,140.9100000,1384147
USDJPY,D,20230726,000000,140.9130000,141.1870000,139.9170000,140.3650000,1799325
USDJPY,D,20230727,000000,140.3650000,141.3210000,138.6960000,138.8600000,2237220
USDJPY,D,20230728,000000,138.8710000,141.1830000,138.0530000,141.1400000,2824361
USDJPY,D,20230730,000000,140.9020000,141.1490000,140.7390000,140.7510000,134365
USDJPY,D,20230731,000000,140.7510000,142.6890000,140.6820000,142.3180000,2025096
USDJPY,D,20230801,000000,142.3210000,143.5460000,142.2470000,142.9600000,1812153
USDJPY,D,20230802,000000,142.9600000,143.4760000,142.2250000,143.3540000,1983456
USDJPY,D,20230803,000000,143.3570000,143.8920000,142.0530000,142.6060000,2420737
USDJPY,D,20230804,000000,142.6020000,142.9080000,141.5410000,141.7100000,1915403
USDJPY,D,20230806,000000,141.7590000,141.9420000,141.6090000,141.8700000,109738
USDJPY,D,20230807,000000,141.8690000,142.5900000,141.5020000,142.5360000,1498802
USDJPY,D,20230808,000000,142.5360000,143.4930000,142.5100000,143.2630000,1886872
USDJPY,D,20230809,000000,143.2570000,143.7600000,142.9890000,143.7170000,1557013
USDJPY,D,20230810,000000,143.7210000,144.8730000,143.2310000,144.8490000,1797608
