<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDUZS;D;230714;000000;11572.6600000;11572.7000000;11572.6600000;11572.7000000;2
USDUZS;D;230717;000000;11584.1600000;11584.2000000;11584.1600000;11584.2000000;6
USDUZS;D;230718;000000;11603.0300000;11603.0300000;11590.0000000;11590.0000000;6
USDUZS;D;230719;000000;11595.1100000;11595.1100000;11595.1000000;11595.1000000;4
USDUZS;D;230720;000000;11570.0000000;11588.0000000;11570.0000000;11588.0000000;6
USDUZS;D;230721;000000;11605.0200000;11605.0200000;11590.0000000;11590.0000000;4
USDUZS;D;230724;000000;11590.0200000;11590.0200000;11585.0000000;11585.0000000;6
USDUZS;D;230725;000000;11608.0600000;11608.0600000;11600.0000000;11600.0000000;6
USDUZS;D;230726;000000;11619.9200000;11619.9200000;11610.0000000;11610.0000000;8
USDUZS;D;230727;000000;11595.1400000;11595.1400000;11595.1000000;11595.1000000;4
USDUZS;D;230728;000000;11595.1700000;11595.1700000;11590.0000000;11590.0000000;4
USDUZS;D;230731;000000;11613.1500000;11613.1500000;11600.0000000;11600.0000000;5
USDUZS;D;230801;000000;11628.1100000;11628.1100000;11628.1000000;11628.1000000;2
USDUZS;D;230802;000000;11650.0100000;11650.0100000;11645.0000000;11645.0000000;6
USDUZS;D;230803;000000;11642.7900000;11642.8000000;11642.7900000;11642.8000000;5
USDUZS;D;230804;000000;11640.0000000;11655.0200000;11640.0000000;11655.0000000;5
USDUZS;D;230807;000000;11670.0100000;11670.0100000;11670.0000000;11670.0000000;4
USDUZS;D;230808;000000;11659.8600000;11659.9000000;11659.8600000;11659.9000000;6
USDUZS;D;230809;000000;11662.0000000;11662.0000000;11662.0000000;11662.0000000;6
USDUZS;D;230810;000000;12070.0300000;12070.0300000;12070.0000000;12070.0000000;6
USDUZS;D;230811;000000;12036.8800000;12036.9000000;12036.8800000;12036.9000000;2
USDUZS;D;230814;000000;12057.0400000;12057.0400000;12050.0000000;12050.0000000;7
USDUZS;D;230815;000000;12069.9900000;12069.9900000;12054.0000000;12054.0000000;6
USDUZS;D;230816;000000;12084.0000000;12084.0000000;12080.0000000;12080.0000000;6
USDUZS;D;230817;000000;12061.1900000;12061.1900000;12050.0000000;12050.0000000;6
USDUZS;D;230818;000000;12073.0100000;12073.0100000;12073.0000000;12073.0000000;3
USDUZS;D;230821;000000;12095.0200000;12095.0200000;12075.0000000;12075.0000000;8
USDUZS;D;230822;000000;12084.9300000;12084.9300000;12080.0000000;12080.0000000;8
USDUZS;D;230823;000000;12062.5500000;12062.5500000;12062.5000000;12062.5000000;6
USDUZS;D;230824;000000;12060.0000000;12060.0000000;12044.0000000;12044.0000000;5
USDUZS;D;230825;000000;12065.1000000;12065.1000000;12065.1000000;12065.1000000;3
USDUZS;D;230828;000000;12067.2100000;12067.2100000;12067.2000000;12067.2000000;5
USDUZS;D;230829;000000;12079.8400000;12079.8400000;12079.8000000;12079.8000000;4
USDUZS;D;230830;000000;12084.9700000;12085.0000000;12084.9700000;12085.0000000;4
USDUZS;D;230901;000000;12097.0000000;12097.0000000;12097.0000000;12097.0000000;1
USDUZS;D;230904;000000;12113.0700000;12113.1000000;12113.0700000;12113.1000000;4
USDUZS;D;230905;000000;12124.9900000;12125.0000000;12124.9900000;12125.0000000;4
USDUZS;D;230906;000000;12100.0000000;12137.1100000;12100.0000000;12120.0000000;11
USDUZS;D;230907;000000;12132.1600000;12132.1600000;12110.0000000;12110.0000000;5
USDUZS;D;230908;000000;12142.2500000;12142.3000000;12142.2500000;12142.3000000;3
USDUZS;D;230911;000000;12158.5300000;12158.5300000;12125.0000000;12125.0000000;9
USDUZS;D;230912;000000;12175.0000000;12175.0000000;12150.0000000;12150.0000000;10
USDUZS;D;230913;000000;12157.0400000;12157.0400000;12157.0000000;12157.0000000;6
USDUZS;D;230914;000000;12149.0200000;12149.0200000;12125.0000000;12125.0000000;6
USDUZS;D;230915;000000;12169.9900000;12170.0000000;12169.9900000;12170.0000000;5
USDUZS;D;230918;000000;12155.3900000;12155.3900000;12150.0000000;12150.0000000;6
USDUZS;D;230919;000000;12163.0400000;12163.0400000;12155.0000000;12155.0000000;6
USDUZS;D;230920;000000;12173.1000000;12173.1000000;12170.0000000;12170.0000000;6
USDUZS;D;230921;000000;12185.0100000;12185.0100000;12175.0000000;12175.0000000;6
USDUZS;D;230922;000000;12207.0700000;12207.1000000;12207.0700000;12207.1000000;3
USDUZS;D;230925;000000;12201.1300000;12201.1300000;12190.0000000;12190.0000000;6
USDUZS;D;230926;000000;12190.1000000;12190.1000000;12185.0000000;12185.0000000;8
USDUZS;D;230927;000000;12178.0100000;12178.0100000;12170.0000000;12170.0000000;6
USDUZS;D;230928;000000;12170.0700000;12170.0700000;12160.0000000;12160.0000000;8
USDUZS;D;231002;000000;12195.1200000;12195.1200000;12150.0000000;12150.0000000;5
USDUZS;D;231003;000000;12211.0100000;12211.0100000;12200.0000000;12200.0000000;7
USDUZS;D;231004;000000;12202.9200000;12202.9200000;12202.9000000;12202.9000000;4
USDUZS;D;231005;000000;12175.0000000;12193.1200000;12175.0000000;12180.0000000;9
USDUZS;D;231006;000000;12184.8100000;12184.8100000;12184.8000000;12184.8000000;3
USDUZS;D;231009;000000;12175.0500000;12175.0500000;12175.0000000;12175.0000000;4
USDUZS;D;231010;000000;12195.2200000;12195.2200000;12185.0000000;12185.0000000;6
USDUZS;D;231011;000000;12211.0900000;12211.0900000;12200.0000000;12200.0000000;6
USDUZS;D;231012;000000;12224.0100000;12224.0100000;12224.0000000;12224.0000000;6
USDUZS;D;231013;000000;12212.8500000;12212.9000000;12212.8500000;12212.9000000;2
USDUZS;D;231016;000000;12196.0500000;12196.0500000;12175.0000000;12175.0000000;6
USDUZS;D;231017;000000;12190.0700000;12190.0700000;12170.0000000;12170.0000000;6
USDUZS;D;231018;000000;12201.9300000;12201.9300000;12175.0000000;12175.0000000;6
USDUZS;D;231019;000000;12226.0100000;12226.0100000;12210.0000000;12210.0000000;6
USDUZS;D;231020;000000;12205.0000000;12205.0000000;12190.0000000;12190.0000000;4
USDUZS;D;231023;000000;12213.0400000;12213.0400000;12213.0000000;12213.0000000;6
USDUZS;D;231024;000000;12194.9300000;12194.9300000;12180.0000000;12180.0000000;6
USDUZS;D;231025;000000;12190.1300000;12190.1300000;12175.0000000;12175.0000000;7
USDUZS;D;231026;000000;12205.0800000;12205.1000000;12205.0800000;12205.1000000;6
USDUZS;D;231027;000000;12223.0500000;12223.0500000;12223.0000000;12223.0000000;2
USDUZS;D;231030;000000;12214.2300000;12214.2300000;12200.0000000;12200.0000000;4
USDUZS;D;231031;000000;12229.4200000;12229.4200000;12229.4000000;12229.4000000;6
USDUZS;D;231101;000000;12244.0000000;12244.0000000;12225.0000000;12225.0000000;3
USDUZS;D;231102;000000;12235.0100000;12235.0100000;12235.0000000;12235.0000000;4
USDUZS;D;231103;000000;12249.0000000;12249.0000000;12245.0000000;12245.0000000;4
USDUZS;D;231106;000000;12265.0000000;12265.0000000;12250.0000000;12250.0000000;4
USDUZS;D;231107;000000;12275.0800000;12275.0800000;12275.0800000;12275.0800000;4
USDUZS;D;231108;000000;12292.0100000;12292.0100000;12290.0000000;12290.0000000;7
USDUZS;D;231109;000000;12283.0400000;12283.0400000;12270.0000000;12270.0000000;7
USDUZS;D;231110;000000;12265.1100000;12265.1100000;12265.1100000;12265.1100000;3
USDUZS;D;231113;000000;12276.1400000;12276.1400000;12260.0000000;12260.0000000;8
USDUZS;D;231114;000000;12284.9800000;12284.9800000;12270.0000000;12270.0000000;6
